Nazwa,Dzielnica,Adres,Kod,Sporty,Telefon,E-mail,WWW,Operator,Status,System rezerwacji,Przypisany,Osoba kontaktowa,Ostatni kontakt,Followup,Notatki,AI,Ostatnia zmiana
Boisko — koszykówka,Świdlin,ul. Lipowa 27,64-500,koszykówka,61 292 15 79,,,,Nowy,Nieznany,,,,,,"Obiekty sportowe: boisko do piłki nożnej i koszykówki na ul. Lipowa 27 w Poznaniu. Znany jest telefon kontaktowy 61 292 15 79 (z OSM), jednak wyszukiwanie internetowe nie potwierdziło konkretnych danych o operatorze, godzinach otwarcia ani systemie rezerwacji. Zaleca się weryfikację poprzez bezpośredni kontakt telefoniczny pod podanym numerem.",
Boisko — koszykówka,Golęcin,ul. Dojazd,60-631,koszykówka,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisk do siatkówki plażowej oraz innych obiektów odbywają się przez zewnętrzny system Bo5.pl z możliwością opłaty online.,
Boisko — koszykówka,Krzyżowniki-Smochowice,ul. Przytoczna,60-427,koszykówka,880 562 845,,http://www.centrumplek.pl/,,Nowy,Zewnętrzny,,,,,,Rezerwacje odbywają się poprzez aplikację Playtomic - zewnętrzną platformę do rezerwacji kortów i boisk sportowych.,
Boisko — koszykówka,,ul. Łąkowa,64-550,koszykówka,453 674 294,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,Jagiellońskie,ul. 20 Października,63-000,koszykówka,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,"Strona domeny jest niedostępna - wyświetlana jest tylko strona rejestratora Aftermarket.pl informująca o zarejestrowaniu domeny, bez dostępu do rzeczywistej treści serwisu obiektu sportowego.",
Boisko — koszykówka,,Poznań,,koszykówka,61 872 73 03,,http://www.kleszczewo.pl/page.php?o=592,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Telefon,,,,,,Rezerwacje odbywają się telefonicznie poprzez Oddział Golęcin: tel. 61 840 68 72 lub centralę: 61 835 79 00.,
Boisko — koszykówka,,Poznań,,koszykówka,,,https://osirmosina.pl/index.php/boiska/,,Nowy,Telefon,,,,,,"Rezerwacje boisk przyjmowane telefonicznie - podany numer telefonu OSiR +48 61 101 95 66 lub +48 61 813 29 03, brak formularza online lub zewnętrznej platformy.",
Boisko — koszykówka,,Poznań,,koszykówka,61 447 51 90,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 829 64 01,,http://swfis.amu.edu.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,http://www.osir.pobiedziska.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,http://www.osir.pobiedziska.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,http://www.osir.pobiedziska.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,788 577 849,,http://losir.eu/gallery/hala-widowiskowo-sportowa/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 814 82 62,,https://gosir.dopiewo.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 829 64 01,,http://swfis.amu.edu.pl/,,Nowy,Nieznany,,,,,,"Strona główna obiektu nie zawiera informacji o systemie rezerwacji; dostępny jest link do sekcji ""Wynajem"" obiektu, ale bez szczegółów dotyczących procedury rezerwacji.",
Boisko — koszykówka,,Poznań,,koszykówka,,,http://www.osir.pobiedziska.pl/,,Nowy,Telefon,,,,,,"Rezerwacje odbywają się wyłącznie telefonicznie pod numerami podanymi dla poszczególnych obiektów (Hala Sportowa/siłownia/korty tenisowe: 798 514 013, Stadion Miejski/Orlik: 501 379 815) lub biuro w godz. 8:00-16:00: 513 270 075.",
Boisko — koszykówka,,Poznań,,koszykówka,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,"Strona domeny jest niedostępna - wyświetlana jest tylko strona rejestratora Aftermarket.pl informująca o zarejestrowaniu domeny, bez dostępu do rzeczywistej treści serwisu obiektu sportowego.",
Boisko — koszykówka,,Poznań,,koszykówka,61 816 60 86,,http://www.osir.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,+48 616652717,osrodekrataje@posir.poznan.pl,https://cspp.put.poznan.pl/obiekty-sportowe/boisko-do-pilki-noznej-miedzy-ds-3-a-ds4,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,https://osirmosina.pl/index.php/boiska/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 835 50 00,,http://awf.poznan.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 866 23 45,osrodekrataje@posir.poznan.pl,https://arenapoznan.pl/,,Nowy,Nieznany,,,,,,"Strona Arena Poznań nie zawiera informacji o systemie rezerwacji. Hala jest w trakcie modernizacji, a na stronie brak sekcji dotyczącej rezerwacji boisk lub pomieszczeń.",
Boisko — koszykówka,,Poznań,,koszykówka,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Telefon,,,,,,"Rezerwacje przyjmowane telefonicznie pod numer 61 840 68 72 (Oddział Golęcin) lub 61 835 79 00 (centrala). Na stronie dostępne są kalendarze dostępności obiektów do pobrania, ale brak systemu rezerwacji online.",
Boisko — koszykówka,,Poznań,,koszykówka,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk koszykówki odbywają się poprzez e-mail - adres rezerwacji hal sportowych dostępny w sekcji kontaktowej obiektu.,
Boisko — koszykówka,,Poznań,,koszykówka,61 814 91 40,,http://www.osir-buk.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Boisko — koszykówka,,Poznań,,koszykówka,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka,,Poznań,,koszykówka,33 385 23 56,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka · mączka ceglana,,Poznań,,koszykówka,453 674 294,,,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka · tartan / asfalt,,ul. Łąkowa,62-095,koszykówka,61 812 21 20,,https://www.ckis.murowana-goslina.pl/,,Nowy,Nieznany,,,,,,Strona główna CKiS nie zawiera informacji o systemie rezerwacji dla boiska piłkarskiego; wymagane sprawdzenie dedykowanej podstrony obiektu sportowego.,
Boisko — koszykówka · tartan / asfalt,,ul. Poziomkowa,62-002,koszykówka,61 892 65 35,,http://gos.suchylas.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka · tartan / asfalt,Łacina,ul. Milczańska,61-132,koszykówka,61 877 53 79,,http://www.csmarcelin.ataner.pl/,,Nowy,Własny system,,,,,,Rezerwacje odbywają się poprzez własny system online na stronie www.csmarcelin.ataner.pl lub poprzez Kiosk w Centrum Sportowym; wymaga logowania numerem lokalu/mieszkania i hasła przypisanego osobom.,
Boisko — koszykówka · tartan / asfalt,,Poznań,,koszykówka,61 892 65 35,,http://gos.suchylas.pl/,,Nowy,Nieznany,,,,,,,
Boisko — koszykówka · tartan / asfalt,,Poznań,,koszykówka,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk przyjmowane są przez e-mail na adres podany na stronie (e-mail/rezerwacja torów basenowych oraz rezerwacja hal sportowych wskazane w sekcji kontaktu).,
Boisko — koszykówka · tartan / asfalt,,Poznań,,koszykówka,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Boisko — koszykówka · tartan / asfalt,,Poznań,,koszykówka,61 812 14 04,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,Świdlin,ul. Lipowa 27,64-500,piłka nożna,61 292 15 79,,,,Nowy,Nieznany,,,,,,"Obiekty sportowe: boisko do piłki nożnej i koszykówki na ul. Lipowa 27 w Poznaniu. Znany jest telefon kontaktowy 61 292 15 79 (z OSM), jednak wyszukiwanie internetowe nie potwierdziło konkretnych danych o operatorze, godzinach otwarcia ani systemie rezerwacji. Zaleca się weryfikację poprzez bezpośredni kontakt telefoniczny pod podanym numerem.",
Boisko — piłka nożna,Stare Miasto,al. Armii Poznań 15,61-663,piłka nożna,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,"Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji obiektu Boisko Przepadek. Dostępne są jedynie informacje o organizacji, aktualności sportowe i zdarzenia.",
Boisko — piłka nożna,Golęcin,ul. Dojazd,60-631,piłka nożna,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisk do piłki nożnej odbywają się poprzez zewnętrzny system Bo5.pl z możliwością płatności online.,
Boisko — piłka nożna,Golęcin,ul. Warmińska,60-622,piłka nożna,61 840 68 72,,https://posir.poznan.pl/obiekty/golecin/boiska-pilkarskie,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie pod numerem 61 840 68 72 lub poprzez e-mail na adres biura Oddziału Golęcin.,
Boisko — piłka nożna,Walątkowo,ul. Kostrzyńska,62-010,piłka nożna,,,http://www.osir.pobiedziska.pl/,,Nowy,Telefon,,,,,,"Rezerwacje odbywają się wyłącznie telefonicznie pod numerami podanymi dla poszczególnych obiektów (Hala Sportowa/siłownia/korty tenisowe: 798 514 013, Stadion Miejski/Orlik: 501 379 815) lub biuro w godz. 8:00-16:00: 513 270 075.",
Boisko — piłka nożna,,ul. Podgórna,62-040,piłka nożna,509 581 555,,https://puszczykowo.pl/sport/hala-widowiskowo-sportowa,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie u kierownika hali Przemysława Hejnowicza pod numerem 509 581 555.,
Boisko — piłka nożna,Golęcin,ul. Dojazd,60-631,piłka nożna,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisek do piłki nożnej oraz siatkówki plażowej odbywają się poprzez zewnętrzną platformę Bo5.pl z możliwością opłaty online.,
Boisko — piłka nożna,Golęcin,al. Słoneczna,60-631,piłka nożna,61 846 62 50,,https://sparrow.up.poznan.pl/ckf/,,Nowy,Zewnętrzny,,,,,,Rezerwacje boisk do piłki nożnej odbywają się za pośrednictwem systemu Bo5.pl wraz z możliwością opłaty online.,
Boisko — piłka nożna,,ul. Szamotulska,64-550,piłka nożna,453 674 294,,,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,Jagiellońskie,os. Jagiellońskie,63-000,piłka nożna,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,"Strona domeny jest niedostępna - wyświetlana jest tylko strona rejestratora Aftermarket.pl informująca o zarejestrowaniu domeny, bez dostępu do rzeczywistej treści serwisu obiektu sportowego.",
Boisko — piłka nożna,Świdlin,al. Śliwkowa,64-500,piłka nożna,61 292 14 85,,http://csszamotuly.pl/,,Nowy,Nieznany,,,,,,"Strona główna nie zawiera informacji o systemie rezerwacji; wymaga przeanalizowania podstron poświęconych ""Boiska piłkarskie"".",
Boisko — piłka nożna,Stare Miasto,al. Armii Poznań,61-711,piłka nożna,61 853 03 60,,http://www.poznanazs.pl/,,Nowy,Nieznany,,,,,,Strona główna AZS Poznań nie zawiera informacji o systemie rezerwacji dla boiska do piłki nożnej - brak szczegółów dotyczących procesu rezerwacji.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 812 21 20,,https://www.ckis.murowana-goslina.pl/,,Nowy,Nieznany,,,,,,Strona główna CKiS nie zawiera informacji o systemie rezerwacji dla boiska piłkarskiego; wymagane sprawdzenie dedykowanej podstrony obiektu sportowego.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 840 68 72,,http://golecin.poznan.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk odbywają się drogą mailową - podany jest adres e-mail do rezerwacji.,
Boisko — piłka nożna,,Poznań,,piłka nożna,602 114 082,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 810 79 47,,https://gosirkomorniki.pl/,,Nowy,Nieznany,,,,,,"Strona portalu GOSiR Komorniki zawiera informacje o obiekcie ""Boiska"" (w tym boisko do piłki nożnej), ale nie zawiera żadnych informacji o systemie rezerwacji. Widoczne są jedynie dane kontaktowe: telefon +48 61 81 07 947 i e-mail biuro@gosirkomorniki.pl.",
Boisko — piłka nożna,,Poznań,,piłka nożna,453 674 294,,,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,33 385 23 56,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 292 14 85,,http://csszamotuly.pl/,,Nowy,Nieznany,,,,,,"Strona główna nie zawiera informacji o systemie rezerwacji; wymaga przeanalizowania podstron poświęconych ""Boiska piłkarskie"".",
Boisko — piłka nożna,,Poznań,,piłka nożna,61 292 15 79,,,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,669 991 624,,http://www.ocs.oborniki.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera sekcję ""Rezerwacje Bowling - Squash"" oraz formularz kontaktowy, ale nie podaje szczegółowych informacji o systemie rezerwacji ani linku do platformy rezerwacyjnej.",
Boisko — piłka nożna,,Poznań,,piłka nożna,509 581 555,,https://puszczykowo.pl/sport/hala-widowiskowo-sportowa,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie u kierownika hali Przemysława Hejnowicza pod numerem 509 581 555.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 872 73 03,,http://www.kleszczewo.pl/page.php?o=592,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk przyjmowane są przez e-mail oraz poprzez formularz dostępny na stronie (odnośniki do rezerwacji hal sportowych i torów basenowych).,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 447 51 90,,,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 814 91 40,,http://www.osir-buk.pl/,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer +48 61 81 49 140 lub mailowo na osirbuk@post.pl; brak systemu online do rezerwacji.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 877 23 29 lub przez e-mail kierownika obiektu.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,Strona domeny orlik2012.pl jest niedostępna - wyświetla tylko stronę rejestratora Aftermarket.pl. Nie można określić sposobu rezerwacji obiektu sportowego.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 816 60 86,,http://www.osir.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,788 577 849,,http://losir.eu/gallery/hala-widowiskowo-sportowa/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,"Strona domeny jest niedostępna - wyświetlana jest tylko strona rejestratora Aftermarket.pl informująca o zarejestrowaniu domeny, bez dostępu do rzeczywistej treści serwisu obiektu sportowego.",
Boisko — piłka nożna,,Poznań,,piłka nożna,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,"Strona domeny jest niedostępna - wyświetlana jest tylko strona rejestratora Aftermarket.pl informująca o zarejestrowaniu domeny, bez dostępu do rzeczywistej treści serwisu obiektu sportowego.",
Boisko — piłka nożna,,Poznań,,piłka nożna,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,"Rezerwacje boisk odbywają się drogą mailową - na stronie znajduje się adres e-mail do kontaktu w sekcji ""e-mail/rezerwacja torów basenowych"" oraz ""rezerwacja hal sportowych"".",
Boisko — piłka nożna,,Poznań,,piłka nożna,33 385 23 56,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 833 05 11,,http://www.chwialka.poznan.pl/,,Nowy,E-mail,,,,,,Rezerwacje boisk prowadzone są przez e-mail na adres podany w kontakcie obiektu.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 650 95 20,,http://www.sksunia.pl/,,Nowy,Telefon,,,,,,"Rezerwacje możliwe telefonicznie pod numerem 799 070 039 lub mailowo na adres klub@sksunia.pl, brak widocznego systemu online.",
Boisko — piłka nożna,,Poznań,,piłka nożna,669 991 624,,http://www.ocs.oborniki.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera sekcję ""Rezerwacje Bowling - Squash"" ale bez dostępnego linku lub szczegółów dotyczących systemu rezerwacji dla boiska do piłki nożnej.",
Boisko — piłka nożna,,Poznań,,piłka nożna,,,https://osirmosina.pl/index.php/boiska/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 650 95 20,,http://www.sksunia.pl/,,Nowy,Telefon,,,,,,"Rezerwacje możliwe telefonicznie pod numerem 799 070 039 lub mailowo na adres klub@sksunia.pl, brak widocznego systemu online.",
Boisko — piłka nożna,,Poznań,,piłka nożna,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 877 23 29,,https://posir.poznan.pl/obiekty/mos/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 292 14 85,,http://csszamotuly.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,506 042 344,,https://www.posir.poznan.pl/obiekty/rataje/korty-tenisowe,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna,,Poznań,,piłka nożna,61 814 82 62,osrodekrataje@posir.poznan.pl,https://gosir.dopiewo.pl/,,Nowy,Nieznany,,,,,,"Strona GOSiR Dopiewo zawiera informacje o obiektach sportowych, ale nie zawiera jasnych informacji o systemie rezerwacji dla ""Boiska sportowego"". Brak widocznych linków do formularzy rezerwacji, zewnętrznych platform (Hally, Booksy) lub instrukcji dotyczących sposobu rezerwacji.",
Boisko — piłka nożna,,Poznań,,piłka nożna,721 785 903,osrodekrataje@posir.poznan.pl,http://www.kkssportywalki.pl/,,Nowy,E-mail,,,,,,Rezerwacje odbywają się poprzez kontakt e-mail (klub@kkssportywalki.pl) - należy napisać do klubu i umówić się na zajęcia.,
Boisko — piłka nożna · beton,,Poznań,,piłka nożna,61 285 23 74,,https://www.orlik2012.pl/index.php/znajdz-orlika/sroda-wielkopolska-ul-lipowa-9,,Nowy,Nieznany,,,,,,"Strona domeny jest niedostępna - wyświetlana jest tylko strona rejestratora Aftermarket.pl informująca o zarejestrowaniu domeny, bez dostępu do rzeczywistej treści serwisu obiektu sportowego.",
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,880 562 845,,http://www.centrumplek.pl/,,Nowy,Zewnętrzny,,,,,,"Rezerwacje boisk realizowane za pośrednictwem aplikacji Playtomic - system zewnętrzny do sprawdzenia dostępności, wyboru terminu i godziny.",
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,506 042 344,,https://www.posir.poznan.pl/obiekty/rataje/korty-tenisowe,,Nowy,Zewnętrzny,,,,,,"Rezerwacje możliwe mailowo, telefonicznie, przez aplikację Playmore oraz na stronie https://playmore.pl/reservation/87/courts; stałe rezerwacje sezonowe przyjmowane mailowo.",
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,61 833 05 11,,http://chwialka.poznan.pl/,,Nowy,Nieznany,,,,,,"Strona zawiera kontakt i e-mail do rezerwacji, ale brak bezpośredniego linku do systemu rezerwacji dla boiska piłkarskiego na sztucznej trawie.",
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,61 892 65 35,,http://gos.suchylas.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,61 892 62 70,,http://octopus.suchylas.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,,,https://posir.poznan.pl/obiekty/kasprowicza/hala-sportow-walki,,Nowy,Telefon,,,,,,Rezerwacje przyjmowane telefonicznie na numer 61 835 79 00 (centrala) lub 61 835 79 01 (sekretariat); brak informacji o systemie online.,
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,+48 616652717,osrodekrataje@posir.poznan.pl,https://cspp.put.poznan.pl/obiekty-sportowe/boisko-do-pilki-noznej-miedzy-ds-3-a-ds4,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · sztuczna trawa,,Poznań,,piłka nożna,61 812 14 04,,http://www.akwenczerwonak.pl/,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · trawa naturalna,Jagiellońskie,ul. Sportowa,63-000,piłka nożna,61 285 25 20,,,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,,,http://kleszczewo.pl/boiska-sportowe,,Nowy,Nieznany,,,,,,,
Boisko — piłka nożna · trawa naturalna,,Poznań,,piłka nożna,61 646 01 62,,https://akwenczerwonak.pl/boiska-sportowe/,,Nowy,Nieznany,,,,,,,
